58;|Pyotr Ilyich Tchaikovsky|;|Overture To Swan Lake|;|Artist: The Russian State Symphony Orchestra Conducted By Dmitry Yablonsky|
59;|Richard Tauber|;|You Are My Heart's Delight|;|Composer: Lehar|
60;|Charlie Kunz|;|The Harry Lime Theme|;|Composer: Anton Karas|
61;|Paul Simon|;|Diamonds On The Soles Of Her Shoes|;|Composer: Paul Simon|
62;|Igor Stravinsky|;|The Sacrificial Dance From The Rite Of Spring|;|Artist: The Concertgebouw Orchestra Of Amsterdam Conducted By Colin Davis|
63;|Heitor Villa-lobos|;|Prelude No. 1 In E Minor|;|Artist: Andres Segovia|
64;|Gustav Mahler|;|The Ending Of Der Abschied - The Farewell From The Song Of The Earth|;|Artist: Christa Ludwig Fritz Wunderlich With The Philharmonia New Philharmonia Orchestras Conducted By Otto Klemperer|
65;|Gladys Knight The Pips|;|Midnight Train To Georgia|;|Composer: J Weatherly|
66;|Elvis Presley|;|Don't Be Cruel|;|Composer: Blackwell/presley|
67;|Ethel Merman|;|You're Just In Love From The Film Call Me Madam|;|Composer: Irving Berlin|
68;|Giacomo Puccini|;|Oh, My Beloved Father|;|Artist: Joan Hammond|
69;|Stevie Wonder|;|You Are The Sunshine Of My Life|;|Composer: Stevie Wonder|
70;|Huey Lewis The News|;|The Power Of Love|;|Composer: Lewis|
71;|Gary Shearston|;|I Get A Kick Out Of You|;|Composer: Porter|
72;|Louis Armstrong|;|La Vie En Rose|;|Composer: Piaf/louiguy|
73;|Van Morrison|;|Brown Eyed Girl|;|Composer: Van Morrison|
74;|Topol|;|Sunrise, Sunset|;|Composer: Jerry Bock/ Sheldon Harnick|
75;|Bob Marley|;|One Love|;|Composer: Bob Marley|
76;|Martin Luther King, Jr.|;|I Have A Dream|;|Composer: Martin Luther King|
77;|Buddy Holly|;|Raining In My Heart|;|Composer: B F Bryant|
78;|Karl Daymond, Accompanied By Alan Mills|;|Danny Boy|;|Composer: Trad.|
79;|T P Mckenna|;|When You Are Old|;|Composer: Wb Yeats|
80;|Red Dragon|;|Compliments On Your Kiss|;|Composer: L.may/g.harris/s.dunbar|
81;|The Beach Boys|;|Surfin' Us|;|Composer: Berry/wilson|
82;|Jacques Brel|;|Amsterdam|;|Composer: Jacques Brel|
83;|Emma Kirkby|;|Columba Aspexit From A Feather On The Breath Of God|;|Composer: Abbess Hildegard Of Bingen|
84;|Joan Baez|;|The Trees They Grow So High|;|Composer: Traditional|
85;|The Judds|;|Why Not Me|;|Composer: Harlan Howard, Sonny Throckmorton, And Brent Maher|
86;|Original Cast Recording|;|Slap That Bass From Crazy For You|;|Composer: George And Ira Gershwin|
87;|Jonathan Dove|;|Tobias And The Angel|;|Artist: Darren Abrahams And James Laing With The Young Vic Chorus Ensemble Conducted By David Charles Abell.|
88;|Mandy Patinkin|;|Finishing The Hat|;|Composer: Stephen Sondheim|
89;|Willard White|;|Lazy Bones|;|Composer: Hoagy Carmichael/ Johnny Mercer|
90;|Clinton Ford|;|Dance With A Dolly (with A Hole In Her Stocking)|;|Composer: Shand, Eaton, Leader|
91;|Alison Krauss|;|Down To The River To Pray|;|Composer: Traditional|
92;|Wolfgang Amadeus Mozart|;|Soave Sia Il Vento|;|Artist: Delores Ziegler, Dale Duesing And Claudio Desderi With The London Philharmonic Orchestra Conducted By Bernard Haitink|
93;|Buddy Holly|;|True Love Ways|;|Composer: Petty/holly|
94;|Antonio Vivaldi|;|Domine Fili Unigenite|;|Artist: The New Philharmonia Chorus Orchestra Conducted By Riccardo Muti|
95;|Herbie Hancock|;|Imagine|;|Composer: John Lennon|
96;|Hugh Laurie|;|St James Infirmary|;|Composer: Trad/primrose)|
97;|Corinne Bailey Rae|;|Que Sera Sera|;|Composer: Jay Livingston And Ray Evans|
98;|Bob Dylan|;|All Along The Watchtower|;|Composer: Bob Dylan|
99;|Dinah Washington|;|You're Nobody Till Somebody Loves You|;|Composer: Larry Stock/russ Morgan/james Cavanagh|
100;|Bob Marley|;|Natural Mystic|;|Composer: Bob Marley|
101;|Vincenzo Bellini|;|Casta Diva (from Norma)|;|Artist: Joan Sutherland|
102;|Tina Turner|;|The Best|;|Composer: H Knight/m Chapman|
103;|Ali Farka Toure|;|Bonde|;|Composer: Toure|
104;|Jan Garbarek|;|Parce Mihi Domine|;|Composer: Christobal De Morales|
105;|Ludwig Van Beethoven|;|Symphony No. 3 In E Flat Major 'eroica'|;|Artist: Vienna Philharmonic Conducted By Leonard Bernstein|
106;|Frank Sinatra|;|Well Did You Evah?|;|Composer: Cole Porter|
107;|Ian Charleson|;|Full Fathom Five|;|Composer: Guy Woolfenden|
109;|Jackson Scott And His Band Mano De Dios|;|Volveras|;|Composer: Roberto Ares Mano De Dios|
110;|Fred Astaire|;|Let's Face The Music And Dance|;|Composer: Irving Berlin|
111;|Franz Schubert|;|Fantasie For Piano For Four Hands In F Minor|;|Artist: Evgeny Kissin And James Levine|
112;|Nina Simone|;|My Baby Just Cares For Me|;|Composer: Walter Donaldson/ Gus Kahn|
113;|Frank Sinatra|;|High Hopes|;|Composer: J Van Heusen/s Cahn|
114;|Ska Toons|;|I'm In The Mood For Love|;|Composer: Fields Mchugh|
115;|Georgie Fame|;|Yeh Yeh|;|Composer: Grant-patrick-hendricks|
116;|St. Paul's Cathedral Choir|;|Dear Lord And Father Of Mankind|;|Composer: Hubert Parry|
117;|Martin Phipps|;|The Theme For Small Island Television Series|;|Composer: Martin Phipps|
118;|Bob Marley|;|Redemption Song|;|Composer: B Marley|
119;|Al Green|;|Let's Stay Together|;|Composer: Mitchell/green/jackson|
120;|Gossip|;|Heavy Cross|;|Composer: Gossip|
121;|Nina Simone|;|Strange Fruit|;|Composer: L. Allen|
122;|Calvin Harris|;|Merrymaking At My Place|;|Composer: Calvin Harris (wiles)|
123;|The Velvet Underground|;|White Light/white Heat|;|Composer: Lou Reed|
124;|Fever Ray|;|When I Grow Up|;|Composer: Fever Ray|
125;|Nino Rota|;|La Passerella From The Film 8 1/2|;|Artist: Riccardo Muti And The Original Film Soundtrack|
126;|Peaches|;|Talk To Me|;|Composer: Gonzales, Peaches|
127;|Gustav Mahler|;|Symphony No. 5 In C Sharp Minor - 4th Movement (adagietto)|;|Artist: Berlin Philharmonic Conducted By Sir Simon Rattle|
128;|Bette Midler|;|Accentuate The Positive|;|Composer: Harold Arlen - Music Johnny Mercer|
129;|Liane Carroll|;|Three Sheets To The Wind|;|Composer: Liane Carroll|
130;|Louis Armstrong|;|A Kiss To Build A Dream On|;|Composer: Kalmar/ruby/oscar Hammerstein 11|
131;|Ian Shaw|;|Somewhere Towards Love|;|Composer: Ian Shaw|
132;|George Melly|;|Rockin' Chair|;|Composer: Carmichael|
133;|Michael Jackson|;|Billie Jean|;|Composer: M Jackson|
134;|Sarah Jane Morris|;|Never Forget How To Dance|;|Composer: Sarah Jane Morris/martyn Barker/dominic Miller/john Brown|
135;|Little Richard|;|Good Golly Miss Molly|;|Composer: Marascalco, Blackwell|
136;|The Rolling Stones|;|Little Red Rooster|;|Composer: Willie Dixon|
137;|Ella Fitzgerald|;|Cheek To Cheek|;|Composer: Irving Berlin|
138;|Lou Reed|;|Walk On The Wild Side|;|Composer: Lou Reed|
139;|Phil Collins|;|In The Air Tonight|;|Composer: Phil Collins|
140;|Lucinda Williams|;|Can't Let Go|;|Composer: Randy Weeks|
141;|Marvin Gaye|;|Let's Get It On|;|Composer: Gaye/townsend|
142;|Monty Python|;|Always Look On The Bright Side Of Life|;|Composer: Eric Idle.|
143;|Bob Dylan|;|I'll Be Your Baby Tonight|;|Composer: Bob Dylan|
144;|Dinah Washington|;|But Not For Me|;|Composer: George And Ira Gershwin|
145;|Buena Vista Social Club|;|Chan Chan|;|Composer: Compay Segundo|
146;|Doris Day|;|By The Light Of The Silvery Moon|;|Composer: Madden/edwards|
147;|Leonard Bernstein|;|Somewhere (from West Side Story)|;|Artist: Marnis Nixon And Jim Bryant|
148;|The Beatles|;|I Want To Hold Your Hand|;|Composer: Lennon/mccartney|
149;|Giovanni Battista Pergolesi|;|Stabat Mater|;|Artist: Cecilia Bartoli (and June Anderson) With The Sinfonietta De Montreal Conducted By Charles Dutoit|
150;|Barbra Streisand|;|The Way We Were|;|Composer: Marvin Hamlisch/alan Bergman Marilyn Bergman|
151;|Antonio Vivaldi|;|The Four Seasons - Spring|;|Artist: Gidon Kremer With The London Symphony Orchestra Conducted By Claudio Abbado|
152;|George Frideric Handel|;|Comfort Ye My People (from Messiah)|;|Artist: Philip Langridge|
153;|The Kinks|;|Waterloo Sunset|;|Composer: Ray Davies|
154;|June Tabor|;|The Band Played Waltzing Matilda|;|Composer: E Bogle|
155;|George Fenton|;|The Funeral|;|Composer: Fenton/gwangwa)|
156;|Wolfgang Amadeus Mozart|;|Dove Sono (from The Marriage Of Figaro)|;|Artist: Kiri Te Kanawa With The London Philharmonic Orchestra Conducted By Sir Georg Solti|
157;|Johann Sebastian Bach|;|Herr, Wenn Die Stolzen Feinde Schnauben- Lord, If Proud Enemies Rage, From Bach's Christmas Oratorio|;|Artist: The Monteverdi Choir The English Baroque Soloists Conducted By John Eliot Gardiner|
158;|Johann Sebastian Bach|;|Concerto For Two Violins In D Minor|;|Artist: The German Bach Soloists Led By Helmut Winschermann|
